id,city,population,area,district,latitude,longitude
175,Benátky nad Jizerou,7418,35,okres Mladá Boleslav,50.291767,14.8260014
176,Vimperk,7399,80,okres Prachatice,49.0526997,13.774198
177,Moravské Budějovice,7364,37,okres Třebíč,49.052357,15.808595
178,Mikulov,7359,45,okres Břeclav,48.8068577,16.6383914
179,Dačice,7325,66,okres Jindřichův Hradec,49.0818108,15.437216
180,Vratimov,7297,14,okres Ostrava-město,49.7697532,18.3102044
181,Sezimovo Ústí,7257,8,okres Tábor,49.3854537,14.6847498
182,Odry,7227,74,okres Nový Jičín,49.6622193,17.8303013
183,Napajedla,7222,19,okres Zlín,49.1715891,17.5113718
184,Petřvald,7190,12,okres Karviná,49.8310682,18.3898338
185,Černošice,7170,9,okres Praha-západ,49.9605466,14.3197051
186,Kaplice,7164,40,okres Český Krumlov,48.7388101,14.4965785
187,Přeštice,7114,25,okres Plzeň-jih,49.5726096,13.3295697
188,Sedlčany,7080,36,okres Příbram,49.6582258,14.4254935
189,Český Brod,7046,19,okres Kolín,50.0744692,14.8607574
190,Nový Bydžov,6986,35,okres Hradec Králové,50.2417701,15.4907692
191,Nýřany,6975,22,okres Plzeň-sever,49.7117208,13.2117858
192,Soběslav,6968,19,okres Tábor,49.259407,14.7193304
193,Vodňany,6953,36,okres Strakonice,49.1478708,14.1754647
194,Hořovice,6844,9,okres Beroun,49.8363239,13.902867
195,Hulín,6819,32,okres Kroměříž,49.3171618,17.4636996
196,Kraslice,6749,81,okres Sokolov,50.3239885,12.5174004
197,Letovice,6745,51,okres Blansko,49.54992235,16.57732984304624
198,Úvaly,6744,10,okres Praha-východ,50.0740135,14.7305192
199,Dobruška,6727,34,okres Rychnov nad Kněžnou,50.2921062,16.1605457
200,Kravaře,6695,19,okres Opava,49.9321321,18.0044266
201,Slavkov u Brna,6694,14,okres Vyškov,49.1535759,16.8763606
202,Staré Město,6652,20,okres Uherské Hradiště,49.0756576,17.4391723
203,Blatná,6583,43,okres Strakonice,49.425124,13.8825978
204,Holice,6574,19,okres Pardubice,50.0662793,15.9858513
205,Světlá nad Sázavou,6566,42,okres Havlíčkův Brod,49.6680082,15.403934
206,Bučovice,6496,31,okres Vyškov,49.1492236,17.001864
207,Slavičín,6468,33,okres Zlín,49.0889594,17.874808
208,Mimoň,6434,15,okres Česká Lípa,50.6499076,14.737507220395393
209,Letohrad,6402,23,okres Ústí nad Orlicí,50.0358007,16.4987852
210,Šenov,6400,16,okres Ostrava-město,49.7931698,18.3756285
211,Podbořany,6368,60,okres Louny,50.2296341,13.4118542
212,Veselí nad Lužnicí,6367,29,okres Tábor,49.1840287,14.6973904
213,Dubňany,6349,22,okres Hodonín,48.9175078,17.0955296
214,Chrastava,6281,27,okres Liberec,50.8171929,14.9687813
215,Tanvald,6252,12,okres Jablonec nad Nisou,50.7379436,15.3037997
216,Rosice,6237,12,okres Brno-venkov,49.1825874,16.3878251
217,Kostelec nad Orlicí,6201,26,okres Rychnov nad Kněžnou,50.1228357,16.2135958
218,Dobřany,6154,35,okres Plzeň-jih,49.6548233,13.2930682
219,Hronov,6125,22,okres Náchod,50.4797582,16.1820581
220,Žamberk,6104,16,okres Ústí nad Orlicí,50.0874408,16.4648984
221,Kojetín,6103,31,okres Přerov,49.3520529,17.3021634
222,Železný Brod,6069,22,okres Jablonec nad Nisou,50.6430652,15.2539851
223,Týniště nad Orlicí,6058,52,okres Rychnov nad Kněžnou,50.1513634,16.0776973
224,Odolena Voda,6022,11,okres Praha-východ,50.2334117,14.4107808
225,Hustopeče,5964,24,okres Břeclav,48.9399831,16.7369738
226,Mníšek pod Brdy,5832,26,okres Praha-západ,49.8664138,14.2609488
227,Třešť,5766,46,okres Jihlava,49.2905709,15.4821668
228,Třebechovice pod Orebem,5748,21,okres Hradec Králové,50.2007842,15.993087
229,Moravský Krumlov,5729,49,okres Znojmo,49.0492698,16.3115273
230,Vítkov,5725,55,okres Opava,49.7758144,17.7517864
231,Týnec nad Sázavou,5715,25,okres Benešov,49.8334756,14.5899539
232,Rousínov,5673,23,okres Vyškov,49.2015498,16.8821032
233,Úpice,5661,15,okres Trutnov,50.5125314,16.0154279
234,Fulnek,5656,68,okres Nový Jičín,49.7126449,17.9031553
235,Šluknov,5615,47,okres Děčín,51.003217,14.4530321
236,Kunovice,5606,28,okres Uherské Hradiště,49.0419604,17.4662253
237,Strážnice,5560,31,okres Hodonín,48.9018932,17.314434
238,Jablunkov,5547,10,okres Frýdek-Místek,49.5767408,18.7645761
239,Lomnice nad Popelkou,5541,25,okres Semily,50.5310646,15.3728809
240,Brumov-Bylnice,5540,56,okres Zlín,49.0912882,18.0227659
241,Zubří,5540,28,okres Vsetín,49.5711085,16.1236867
242,Nové Strašecí,5517,13,okres Rakovník,50.1532192,13.9004279
243,Františkovy Lázně,5514,25,okres Cheb,50.1223741,12.3488519
244,Hradec nad Moravicí,5489,43,okres Opava,49.8709009,17.8754742
245,Chlumec nad Cidlinou,5462,21,okres Hradec Králové,50.154395,15.4603384
246,Stochov,5416,9,okres Kladno,50.1481264,13.9629115
247,Horní Slavkov,5414,36,okres Sokolov,50.139072,12.8077875
248,Planá,5413,62,okres Tachov,48.94367,14.4527685
249,Hluboká nad Vltavou,5410,91,okres České Budějovice,49.0522493,14.4342702
250,Jilemnice,5391,13,okres Semily,50.6091761,15.5064747
251,Horažďovice,5310,43,okres Klatovy,49.3210159,13.7006943
252,Modřice,5296,10,okres Brno-venkov,49.1288791,16.6137074
253,Telč,5276,24,okres Jihlava,49.1847652,15.4524773
254,Česká Kamenice,5247,38,okres Děčín,50.7994117,14.4165592
255,Doksy,5206,74,okres Česká Lípa,50.5642825,14.6553399
256,Velká Bíteš,5193,47,okres Žďár nad Sázavou,49.2888655,16.225908
257,Holýšov,5191,29,okres Domažlice,49.5936108,13.1012935
258,Kdyně,5169,28,okres Domažlice,49.3905888,13.0394725
259,Bakov nad Jizerou,5156,27,okres Mladá Boleslav,50.4801187,14.9388306
260,Trhové Sviny,5154,52,okres České Budějovice,48.8425812,14.6391858
261,Jílové,5147,36,okres Děčín,50.7610971,14.1041986
262,Polná,5141,37,okres Jihlava,49.4873383,15.7188513
263,Rudná,5137,8,okres Praha-západ,49.6593908,16.573224
264,Starý Plzenec,5105,18,okres Plzeň-město,49.6977029,13.4734102
265,Bechyně,5097,21,okres Tábor,49.2953802,14.46884
266,Kosmonosy,5093,11,okres Mladá Boleslav,50.4390101,14.9300612
267,Česká Skalice,5078,17,okres Náchod,50.3946132,16.0435698
268,Ledeč nad Sázavou,5074,17,okres Havlíčkův Brod,49.6954347,15.2776706
269,Pohořelice,5051,43,okres Brno-venkov,48.9814826,16.5245722
270,Skuteč,5046,35,okres Chrudim,49.8434267,15.9961932
271,Luhačovice,5045,32,okres Zlín,49.0997324,17.7577004
272,Vrbno pod Pradědem,5040,68,okres Bruntál,50.1209513,17.3831569
273,Třemošná,5031,18,okres Plzeň-sever,49.8161125,13.3949879
274,Horšovský Týn,5006,71,okres Domažlice,49.52650495,12.942406894513306
275,Valašské Klobouky,4951,26,okres Zlín,49.1409048,18.0075634
276,Nýrsko,4920,31,okres Klatovy,49.2938686,13.1435324
277,Chropyně,4889,19,okres Kroměříž,49.3567094,17.3644698
