id,city,population,area,district
137,Přelouč,9659,30,okres Pardubice
138,Studénka,9536,30,okres Nový Jičín
139,Jesenice,9448,17,okres Praha-západ
140,Nové Město nad Metují,9436,23,okres Náchod
141,Králův Dvůr,9357,15,okres Beroun
142,Tišnov,9257,17,okres Brno-venkov
143,Chotěboř,9250,54,okres Havlíčkův Brod
144,Mohelnice,9189,46,okres Šumperk
145,Nová Paka,9094,28,okres Jičín
146,Dobříš,8983,53,okres Příbram
147,Lovosice,8837,11,okres Litoměřice
148,Polička,8748,33,okres Svitavy
149,Mnichovo Hradiště,8729,34,okres Mladá Boleslav
150,Štětí,8685,53,okres Litoměřice
151,Choceň,8646,21,okres Ústí nad Orlicí
152,Hořice,8621,21,okres Jičín
153,Hostivice,8546,14,okres Praha-západ
154,Roztoky,8529,8,okres Praha-západ
155,Duchcov,8517,15,okres Teplice
156,Příbor,8452,22,okres Nový Jičín
157,Semily,8367,16,okres Semily
158,Červený Kostelec,8352,24,okres Náchod
159,Milevsko,8277,42,okres Písek
160,Třeboň,8253,98,okres Jindřichův Hradec
161,Rýmařov,8247,60,okres Bruntál
162,Bystřice pod Hostýnem,8169,26,okres Kroměříž
163,Bystřice nad Pernštejnem,8110,53,okres Žďár nad Sázavou
164,Lipník nad Bečvou,8024,30,okres Přerov
165,Týn nad Vltavou,8000,43,okres České Budějovice
166,Dubí,7870,33,okres Teplice
167,Nejdek,7807,52,okres Karlovy Vary
168,Hrádek nad Nisou,7722,48,okres Liberec
169,Stříbro,7680,47,okres Tachov
170,Šlapanice,7563,14,okres Brno-venkov
171,Frýdlant,7531,31,okres Liberec
172,Rychvald,7457,17,okres Karviná
173,Broumov,7444,22,okres Náchod
174,Bílovec,7419,38,okres Nový Jičín
175,Benátky nad Jizerou,7418,35,okres Mladá Boleslav
176,Vimperk,7399,80,okres Prachatice
177,Moravské Budějovice,7364,37,okres Třebíč
178,Mikulov,7359,45,okres Břeclav
179,Dačice,7325,66,okres Jindřichův Hradec
180,Vratimov,7297,14,okres Ostrava-město
181,Sezimovo Ústí,7257,8,okres Tábor
182,Odry,7227,74,okres Nový Jičín
183,Napajedla,7222,19,okres Zlín
184,Petřvald,7190,12,okres Karviná
185,Černošice,7170,9,okres Praha-západ
186,Kaplice,7164,40,okres Český Krumlov
187,Přeštice,7114,25,okres Plzeň-jih
188,Sedlčany,7080,36,okres Příbram
189,Český Brod,7046,19,okres Kolín
190,Nový Bydžov,6986,35,okres Hradec Králové
191,Nýřany,6975,22,okres Plzeň-sever
192,Soběslav,6968,19,okres Tábor
193,Vodňany,6953,36,okres Strakonice
194,Hořovice,6844,9,okres Beroun
195,Hulín,6819,32,okres Kroměříž
196,Kraslice,6749,81,okres Sokolov
197,Letovice,6745,51,okres Blansko
198,Úvaly,6744,10,okres Praha-východ
199,Dobruška,6727,34,okres Rychnov nad Kněžnou
200,Kravaře,6695,19,okres Opava
201,Slavkov u Brna,6694,14,okres Vyškov
202,Staré Město,6652,20,okres Uherské Hradiště
203,Blatná,6583,43,okres Strakonice
204,Holice,6574,19,okres Pardubice
205,Světlá nad Sázavou,6566,42,okres Havlíčkův Brod
206,Bučovice,6496,31,okres Vyškov
207,Slavičín,6468,33,okres Zlín
208,Mimoň,6434,15,okres Česká Lípa
209,Letohrad,6402,23,okres Ústí nad Orlicí
210,Šenov,6400,16,okres Ostrava-město
211,Podbořany,6368,60,okres Louny
212,Veselí nad Lužnicí,6367,29,okres Tábor
213,Dubňany,6349,22,okres Hodonín
214,Chrastava,6281,27,okres Liberec
215,Tanvald,6252,12,okres Jablonec nad Nisou
216,Rosice,6237,12,okres Brno-venkov
217,Kostelec nad Orlicí,6201,26,okres Rychnov nad Kněžnou
218,Dobřany,6154,35,okres Plzeň-jih
219,Hronov,6125,22,okres Náchod
220,Žamberk,6104,16,okres Ústí nad Orlicí
221,Kojetín,6103,31,okres Přerov
222,Železný Brod,6069,22,okres Jablonec nad Nisou
223,Týniště nad Orlicí,6058,52,okres Rychnov nad Kněžnou
224,Odolena Voda,6022,11,okres Praha-východ
225,Hustopeče,5964,24,okres Břeclav
226,Mníšek pod Brdy,5832,26,okres Praha-západ
227,Třešť,5766,46,okres Jihlava
228,Třebechovice pod Orebem,5748,21,okres Hradec Králové
229,Moravský Krumlov,5729,49,okres Znojmo
230,Vítkov,5725,55,okres Opava
231,Týnec nad Sázavou,5715,25,okres Benešov
232,Rousínov,5673,23,okres Vyškov
233,Úpice,5661,15,okres Trutnov
234,Fulnek,5656,68,okres Nový Jičín
235,Šluknov,5615,47,okres Děčín
236,Kunovice,5606,28,okres Uherské Hradiště
237,Strážnice,5560,31,okres Hodonín
238,Jablunkov,5547,10,okres Frýdek-Místek
239,Lomnice nad Popelkou,5541,25,okres Semily
240,Brumov-Bylnice,5540,56,okres Zlín
241,Zubří,5540,28,okres Vsetín
242,Nové Strašecí,5517,13,okres Rakovník
243,Františkovy Lázně,5514,25,okres Cheb
244,Hradec nad Moravicí,5489,43,okres Opava
245,Chlumec nad Cidlinou,5462,21,okres Hradec Králové
246,Stochov,5416,9,okres Kladno
247,Horní Slavkov,5414,36,okres Sokolov
248,Planá,5413,62,okres Tachov
249,Hluboká nad Vltavou,5410,91,okres České Budějovice
250,Jilemnice,5391,13,okres Semily
251,Horažďovice,5310,43,okres Klatovy
252,Modřice,5296,10,okres Brno-venkov
253,Telč,5276,24,okres Jihlava
254,Česká Kamenice,5247,38,okres Děčín
255,Doksy,5206,74,okres Česká Lípa
256,Velká Bíteš,5193,47,okres Žďár nad Sázavou
257,Holýšov,5191,29,okres Domažlice
258,Kdyně,5169,28,okres Domažlice
259,Bakov nad Jizerou,5156,27,okres Mladá Boleslav
260,Trhové Sviny,5154,52,okres České Budějovice
261,Jílové,5147,36,okres Děčín
262,Polná,5141,37,okres Jihlava
263,Rudná,5137,8,okres Praha-západ
264,Starý Plzenec,5105,18,okres Plzeň-město
265,Bechyně,5097,21,okres Tábor
266,Kosmonosy,5093,11,okres Mladá Boleslav
267,Česká Skalice,5078,17,okres Náchod
268,Ledeč nad Sázavou,5074,17,okres Havlíčkův Brod
269,Pohořelice,5051,43,okres Brno-venkov
270,Skuteč,5046,35,okres Chrudim
271,Luhačovice,5045,32,okres Zlín
272,Vrbno pod Pradědem,5040,68,okres Bruntál
273,Třemošná,5031,18,okres Plzeň-sever
274,Horšovský Týn,5006,71,okres Domažlice
275,Valašské Klobouky,4951,26,okres Zlín
276,Nýrsko,4920,31,okres Klatovy
277,Chropyně,4889,19,okres Kroměříž
278,Náměšť nad Oslavou,4871,18,okres Třebíč
279,Habartov,4846,21,okres Sokolov
280,Heřmanův Městec,4835,14,okres Chrudim
281,Protivín,4830,61,okres Písek
282,Meziboří,4810,14,okres Most
283,Vizovice,4800,28,okres Zlín
284,Kynšperk nad Ohří,4789,23,okres Sokolov
285,Bělá pod Bezdězem,4786,63,okres Mladá Boleslav
286,Unhošť,4779,17,okres Kladno
287,Jílové u Prahy,4770,16,okres Praha-západ
288,Pečky,4769,10,okres Kolín
289,Pacov,4758,35,okres Pelhřimov
