id,lat,lon
87,49.9021593,16.4472039
88,50.9124244,14.6194058
89,50.186331,15.0417306
90,50.3847188,13.1712133
91,50.5872282,15.150259702715726
92,49.9737051,16.3940676
93,49.7429636,13.5945245
94,50.149751,15.128307453984743
95,49.8982209,18.1919194
96,49.88287,16.8721836
97,49.730712,17.2988474
98,50.2390665,12.7489079
99,50.22359205,12.185766532475133
100,48.805114950000004,14.316197791106362
101,50.4255496,14.2616915
102,49.7955449,12.6329861
103,49.9739518,12.703319
104,50.6847005,13.8577518
105,50.6271452,15.6095779
106,50.3555088,15.9185723
107,49.9534727,16.1616455
108,50.1607829,14.7500022
109,50.2259601,14.8886322
110,50.757878,14.5554953
111,49.496569300000004,16.661627904400362
112,49.333718,17.5786751
113,49.7065924,14.8987513
114,49.3554996,16.0121507
115,49.7711837,17.1213944
116,49.0104456,17.1224867
117,50.2296385,17.2046012
118,49.4407069,12.9298338
119,49.2313907,13.5204076
120,50.9517739,14.5569317
121,48.9540796,17.379034
122,50.1631069,16.274837
123,49.2987857,16.531396
124,49.5418861,15.3586709
125,49.0131123,13.9977479
126,49.5474224,18.2117067
127,49.8725491,16.3101243
128,49.9109171,15.3913205
129,49.5616916,16.0744185
130,49.7581979,16.6642129
131,49.9124356,16.6118541
132,49.5930718,18.3596301
133,49.7014789,17.0761064
134,49.1015881,16.3776051
135,50.2016983,14.832757
136,49.7625672,15.907339
137,50.0401412,15.5603286
138,49.7137494,18.0610845
139,49.9687565,14.5158132
140,50.3442064,16.1512997
141,49.9502063,14.0344556
142,49.348838,16.4244906
143,49.7205393,15.6699904
144,49.7769472,16.9196183
145,50.4947616,15.5149801
146,49.7813749,14.1704372
147,50.5153052,14.0509704
148,49.7149137,16.2653869
149,50.5233731,14.979577888259035
150,50.4529665,14.3746577
151,50.0018735,16.2229788
152,50.3665337,15.6321735
153,50.0815167,14.2585743
154,50.1586802,14.3975468
155,50.6040315,13.7461464
156,49.6401091,18.1438062
157,50.602249,15.33526
158,50.4765545,16.0928092
159,49.4503023,14.3595152
160,49.0064356,14.7633295
161,49.9320352,17.2714574
162,49.399451,17.6737912
163,49.5228805,16.2613311
164,49.5273114,17.5861035
165,49.2233024,14.4211263
166,50.6812997,13.788771
167,50.3247878,12.7332967
168,50.8522229,14.8436667
169,49.7530168,13.0049136
170,49.1688974,16.7272687
171,50.9216775,15.0794594
172,49.8663296,18.376392
173,50.5853016,16.3324545
174,49.7567664,18.01623
175,50.291767,14.8260014
176,49.0526997,13.774198
177,49.052357,15.808595
178,48.8068577,16.6383914
179,49.0818108,15.437216
180,49.7697532,18.3102044
181,49.3854537,14.6847498
182,49.6622193,17.8303013
183,49.1715891,17.5113718
184,49.8310682,18.3898338
185,49.9605466,14.3197051
186,48.7388101,14.4965785
